word,form_norm,aoa_mean,prevalence,known_pct,freq_log,cd,concreteness,aoa_mean_source_varid,prevalence_source_varid,known_pct_source_varid,freq_log_source_varid,cd_source_varid,concreteness_source_varid,difficulty_label_0_100_pca,difficulty_label_0_100,frequency,freq_log1p,difficulty_freq_0_100,freq_weight_used
accuse,accuse,9.1,2.085085905460805,0.9863325740318908,3.583915220112915,704.0,2.25,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,32.823393750066195,40.04922817090191,40.0,3.713572066704308,53.468634952453954,0.35
ache,ache,5.79,2.1674037493945435,0.9897959183673468,3.3527915790516944,394.0,3.43,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,31.12946326764938,43.35791859800984,14.0,2.70805020110221,66.06790706867926,0.35
acid,acid,,,,4.012963075371011,1139.0,4.25,,,,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,29.220882536043842,42.41991135697643,13.0,2.6390573296152584,66.93239345299409,0.35
acorn,acorn,5.95,1.9088169129365913,0.976623376623377,3.130304630228789,161.0,4.96,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,36.240255761509594,36.240255761509594,,,,0.0
acquire,acquire,9.94,2.1766406572056147,0.9901477832512317,3.463633342212681,531.0,2.93,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,34.21358651883813,35.50490825805755,141.0,4.955827057601261,37.90307720232218,0.35
acquit,acquit,13.22,1.3722038089987258,0.9191919191919192,2.318985016592491,38.0,2.13,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,48.232420997408504,48.232420997408504,,,,0.0
across,across,6.637340000000001,2.330078922787914,0.9950495049504952,5.494158462598032,23345.0,3.07,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,16.7547239275067,21.242139905911024,275.0,5.62040086571715,29.57591243723334,0.35
active,active,6.53,2.5758293035489,1.0,4.3309177748508585,3231.0,3.32,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,24.619595423617525,30.42869512359602,108.0,4.6913478822291435,41.2170231378418,0.35
activity,activity,6.47,2.255383561501985,0.992874109263658,4.429253977629078,3923.0,,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,,27.60004420558963,25.810231789081584,485.0,6.186208623900494,22.48629444413808,0.35
add,add,5.1,2.5758293035489,1.0,5.001838934922176,9891.0,3.0,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,18.699355399202656,21.32873630331281,360.0,5.8888779583328805,26.21187226808881,0.35
admit,admit,7.56,2.319526755086213,0.9947643979057588,4.479853542657514,5023.0,2.32,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,25.338950053430132,30.816536546451623,110.0,4.709530201312334,40.98919717634868,0.35
adobe,adobe,12.22,1.8625905571672952,0.9734748010610078,2.275519322811401,21.0,4.19,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,44.80298292102612,44.80298292102612,,,,0.0
adult,adult,4.68,2.5758293035489,1.0,4.4033059022925265,3448.0,4.4,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,23.829563074429565,24.749244532592368,353.0,5.869296913133774,26.457224383466148,0.35
adultery,adultery,11.84,2.3012180286084645,0.9942528735632182,3.063091647220609,181.0,2.79,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,36.34523392726731,36.34523392726731,,,,0.0
adze,adze,,-0.4345308432970085,0.3302540415704386,2.403305902292527,18.0,,,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,,75.69591676522013,75.69591676522013,,,,0.0
affair,affair,10.94,2.4365219774278475,0.9975609756097562,4.2963819618569845,2903.0,2.45,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,29.215227031913372,34.88342493127104,77.0,4.356708826689592,45.410078172935265,0.35
afford,afford,7.47,2.4232949168407765,0.9972826086956524,4.7628810050799855,7497.0,1.83,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,22.204599285325795,28.01932039917731,131.0,4.882801922586371,38.818088182044406,0.35
after,after,5.997920000000001,2.322007010652539,0.9948320413436696,5.939918801542072,37322.0,2.12,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,9.515733250143818,9.028909266491187,1528.0,7.332369205929062,8.124807582564875,0.35
afternoon,afternoon,4.65,2.445891736786443,0.9977528089887642,5.058858614488741,12102.0,3.7,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,19.288472217132856,27.169396247613783,103.0,4.6443908991413725,41.805398018506935,0.35
afterwards,afterwards,7.711835,2.1753491709982065,0.99009900990099,4.386197619440768,4177.0,2.14,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,26.957897363688758,26.957897363688758,,,,0.0
again,again,5.784780000000001,2.4305260287857036,0.9974358974358972,5.837245073813209,36320.0,2.0,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,8.929831579253522,15.332613553231969,332.0,5.808142489980444,27.223494362049085,0.35
against,against,7.969465000000001,2.3300789227878935,0.9950495049504946,5.52647191447655,22842.0,1.8,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,16.52602038440455,18.240312004045556,528.0,6.270988431858299,21.42399644052171,0.35
agave,agave,14.57,0.8939474655013713,0.8175,2.0179550209285098,16.0,,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,,59.855045882854654,59.855045882854654,,,,0.0
age,age,4.38,2.4398848760843235,0.9976303317535546,5.181783460552416,14953.0,2.86,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,16.779254916815045,16.74720153495702,771.0,6.648984550024776,16.687673825792125,0.35
agouti,agouti,,-0.8858484301544969,0.1846965699208444,2.093675734866628,5.0,,,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,,84.62555681518262,84.62555681518262,,,,0.0
agree,agree,7.68,2.5758293035489,1.0,5.10178172203989,11923.0,2.31,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,19.522452618656942,23.269458236990694,261.0,5.568344503761097,30.22818295675338,0.35
agreement,agreement,8.16,2.5758293035489,1.0,4.613136194149841,4124.0,2.22,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,23.703757518465196,23.703757518465196,,,,0.0
air,air,3.94,2.5758293035489,1.0,5.219287106764092,15308.0,4.11,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,16.683960496649767,20.385986920201006,331.0,5.805134968916488,27.261178849653312,0.35
airplane,airplane,3.94,2.4353632348502785,0.997536945812808,3.1505805862031004,186.0,4.96,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,29.80850296033491,46.51771391968545,5.0,1.791759469228055,77.54910570133646,0.35
albatross,albatross,11.64,1.6760349689007112,0.9577114427860696,3.1596287151804976,138.0,4.81,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,43.941541543110596,43.941541543110596,,,,0.0
alcohol,alcohol,9.0,2.4368086432863776,0.9975669099756688,4.5191447410871355,2731.0,4.76,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,29.524540235550223,34.08344358973089,97.0,4.584967478670572,42.54997839035213,0.35
alcoholic,alcoholic,9.95,2.1733946993821776,0.9900249376558602,3.7687204708225206,897.0,3.37,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,33.724179279184504,33.724179279184504,,,,0.0
alive,alive,,,,4.822483867754782,8188.0,3.14,,,,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,23.18322243627722,33.4734214323006,43.0,3.784189633918261,52.58379099634401,0.35
all,all,4.239515000000001,2.321514965310057,0.994818652849741,6.625635175512186,43709.0,2.27,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,3.8961544106793813,2.5325003669415977,3043.0,8.020927718981577,0.0,0.35
alligator,alligator,4.78,2.168751925631368,0.9898477157360404,3.2076190871734647,191.0,4.96,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,32.56845651152161,32.56845651152161,,,,0.0
allow,allow,5.32,2.1714192180406813,0.9899497487437184,3.354876422516234,1660.0,,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,Brysbaert-2009-Frequency-ENGLISH_FREQUENCY_LOG,Brysbaert-2009-Frequency-ENGLISH_CD,,31.21776758363793,26.12088798602252,773.0,6.651571873589727,16.655254447593904,0.35
almond,almond,7.67,2.3239555364163875,0.9948849104859336,3.4134062291968523,291.0,4.71,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,33.24014462733532,33.24014462733532,,,,0.0
alone,alone,4.94,2.334140280419032,0.9951573849878932,5.031093316343766,13118.0,2.86,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,19.168608954475832,23.707130768484767,224.0,5.41610040220442,32.13581413735851,0.35
already,already,,2.4326832484763634,0.9974811083123426,5.4479609304834495,25612.0,1.64,,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,13.445065173919918,17.50762724175863,395.0,5.981414211254481,25.05238536774481,0.35
altar,altar,7.16,2.181716874042532,0.9903381642512076,3.5788290847702804,517.0,4.85,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,33.43983320049268,33.43983320049268,,,,0.0
alter,alter,,,,3.684294683073206,873.0,3.07,,,,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,28.85310263786583,33.22089472054344,107.0,4.68213122712422,41.332508588373294,0.35
aluminum,aluminum,7.26,2.078885160507295,0.9860465116279076,2.1270994903535776,17.0,4.88,Kuperman-2012-AoA-ENGLISH_AOA_MEAN,Brysbaert-2019-Prevalence-ENGLISH_PREVALENCE,Brysbaert-2019-Prevalence-ENGLISH_KNOWN_PERCENTAGE,VanHeuven-2014-Frequency-ENGLISH_FREQUENCY_LOG,VanHeuven-2014-Frequency-ENGLISH_CD,Brysbaert-2014-Concreteness-ENGLISH_CONCRETENESS_MEAN,39.23935602110506,49.25692177877787,12.0,2.5649493574615367,67.86097247159881,0.35
